"year","unitid","inst_name","state_name","years_after_entry","earnings_mean"
"2014","157377","Midway College","Kentucky","10","37400"
"2014","157377","Midway College","Kentucky","6","34600"
"2014","157377","Midway College","Kentucky","8","33400"
"2014","157386","Morehead State University","Kentucky","10","37000"
"2014","157386","Morehead State University","Kentucky","6","30000"
"2014","157386","Morehead State University","Kentucky","8","32600"
"2014","157401","Murray State University","Kentucky","10","42300"
"2014","157401","Murray State University","Kentucky","6","33100"
"2014","157401","Murray State University","Kentucky","8","38300"
"2014","157447","Northern Kentucky University","Kentucky","10","41800"
"2014","157447","Northern Kentucky University","Kentucky","6","35200"
"2014","157447","Northern Kentucky University","Kentucky","8","38400"
"2014","157535","University of Pikeville","Kentucky","10","39000"
"2014","157535","University of Pikeville","Kentucky","6","32100"
"2014","157535","University of Pikeville","Kentucky","8","36000"
"2014","157632","Saint Catharine College","Kentucky","10","34300"
"2014","157632","Saint Catharine College","Kentucky","6","29000"
"2014","157632","Saint Catharine College","Kentucky","8","33200"
"2014","157757","Spalding University","Kentucky","10","48300"
"2014","157757","Spalding University","Kentucky","6","38000"
"2014","157757","Spalding University","Kentucky","8","42500"
"2014","157809","Thomas More College","Kentucky","10","58900"
"2014","157809","Thomas More College","Kentucky","6","46700"
"2014","157809","Thomas More College","Kentucky","8","54300"
"2014","157818","Transylvania University","Kentucky","10","50100"
"2014","157818","Transylvania University","Kentucky","6","34400"
"2014","157818","Transylvania University","Kentucky","8","44700"
"2014","157863","Union College","Kentucky","10","36400"
"2014","157863","Union College","Kentucky","6","28800"
"2014","157863","Union College","Kentucky","8","32100"
"2014","157951","Western Kentucky University","Kentucky","10","38600"
"2014","157951","Western Kentucky University","Kentucky","6","30800"
"2014","157951","Western Kentucky University","Kentucky","8","35900"
"2014","260947","Christian Life College","Illinois","10","Suppressed data"
"2014","260947","Christian Life College","Illinois","6","Suppressed data"
"2014","260947","Christian Life College","Illinois","8","Suppressed data"
"2013","143048","School of the Art Institute of Chicago","Illinois","10","39100"
"2013","143048","School of the Art Institute of Chicago","Illinois","6","27800"
"2013","143048","School of the Art Institute of Chicago","Illinois","8","33500"
"2013","143084","Augustana College","Illinois","10","55100"
"2013","143084","Augustana College","Illinois","6","39600"
"2013","143084","Augustana College","Illinois","8","46800"
"2013","143118","Aurora University","Illinois","10","42900"
"2013","143118","Aurora University","Illinois","6","36400"
"2013","143118","Aurora University","Illinois","8","43500"
"2013","143288","Blackburn College","Illinois","10","40400"
"2013","143288","Blackburn College","Illinois","6","29500"
"2013","143288","Blackburn College","Illinois","8","35200"
"2013","143297","Blessing Rieman College of Nursing","Illinois","10","45400"
"2013","143297","Blessing Rieman College of Nursing","Illinois","6","46100"
"2013","143297","Blessing Rieman College of Nursing","Illinois","8","52100"
"2013","143358","Bradley University","Illinois","10","56800"
"2013","143358","Bradley University","Illinois","6","42700"
"2013","143358","Bradley University","Illinois","8","48800"
"2013","143853","Midwestern University-Downers Grove","Illinois","10","135200"
"2013","143853","Midwestern University-Downers Grove","Illinois","6","102700"
"2013","143853","Midwestern University-Downers Grove","Illinois","8","123700"
"2013","144005","Chicago State University","Illinois","10","38300"
"2013","144005","Chicago State University","Illinois","6","30800"
"2013","144005","Chicago State University","Illinois","8","33900"
"2013","144050","University of Chicago","Illinois","10","98500"
"2013","144050","University of Chicago","Illinois","6","75200"
"2013","144050","University of Chicago","Illinois","8","82700"
"2013","144281","Columbia College-Chicago","Illinois","10","37300"
"2013","144281","Columbia College-Chicago","Illinois","6","28600"
"2013","144281","Columbia College-Chicago","Illinois","8","33400"
"2013","144351","Concordia University-Chicago","Illinois","10","42300"
"2013","144351","Concordia University-Chicago","Illinois","6","34900"
"2013","144351","Concordia University-Chicago","Illinois","8","37100"
"2013","144740","DePaul University","Illinois","10","56900"
"2013","144740","DePaul University","Illinois","6","43600"
"2013","144740","DePaul University","Illinois","8","50300"
"2013","144883","East-West University","Illinois","10","27300"
"2013","144883","East-West University","Illinois","6","21000"
"2013","144883","East-West University","Illinois","8","24700"
"2013","144892","Eastern Illinois University","Illinois","10","43500"
"2013","144892","Eastern Illinois University","Illinois","6","34300"
"2013","144892","Eastern Illinois University","Illinois","8","39200"
"2013","144962","Elmhurst College","Illinois","10","50200"
"2013","144962","Elmhurst College","Illinois","6","41000"
"2013","144962","Elmhurst College","Illinois","8","44700"
"2013","144971","Eureka College","Illinois","10","38800"
"2013","144971","Eureka College","Illinois","6","31800"
"2013","144971","Eureka College","Illinois","8","36700"
"2013","145275","Garrett-Evangelical Theological Seminary","Illinois","10","Suppressed data"
"2013","145275","Garrett-Evangelical Theological Seminary","Illinois","6","Suppressed data"
"2013","145275","Garrett-Evangelical Theological Seminary","Illinois","8","Suppressed data"
"2013","145336","Governors State University","Illinois","10","42600"
"2013","145336","Governors State University","Illinois","6","37200"
"2013","145336","Governors State University","Illinois","8","41100"
"2013","145372","Greenville College","Illinois","10","40300"
"2013","145372","Greenville College","Illinois","6","32500"
"2013","145372","Greenville College","Illinois","8","35200"
"2013","145497","Hebrew Theological College","Illinois","10","28500"
"2013","145497","Hebrew Theological College","Illinois","6","26700"
"2013","145497","Hebrew Theological College","Illinois","8","24900"
"2013","145558","Rosalind Franklin University of Medicine and Science","Illinois","10","164600"
"2013","145558","Rosalind Franklin University of Medicine and Science","Illinois","6","81500"
"2013","145558","Rosalind Franklin University of Medicine and Science","Illinois","8","129100"
"2013","145600","University of Illinois at Chicago","Illinois","10","61900"
"2013","145600","University of Illinois at Chicago","Illinois","6","44500"
"2013","145600","University of Illinois at Chicago","Illinois","8","50400"
"2013","145619","Benedictine University","Illinois","10","52800"
"2013","145619","Benedictine University","Illinois","6","41200"
"2013","145619","Benedictine University","Illinois","8","48600"
"2013","145628","Illinois College of Optometry","Illinois","10","83000"
"2013","145628","Illinois College of Optometry","Illinois","6","91200"
"2013","145628","Illinois College of Optometry","Illinois","8","92100"
"2013","145637","University of Illinois at Urbana-Champaign","Illinois","10","66500"
"2013","145637","University of Illinois at Urbana-Champaign","Illinois","6","49000"
"2013","145637","University of Illinois at Urbana-Champaign","Illinois","8","58400"
"2013","145646","Illinois Wesleyan University","Illinois","10","60500"
"2013","145646","Illinois Wesleyan University","Illinois","6","42800"
"2013","145646","Illinois Wesleyan University","Illinois","8","53100"
"2013","145691","Illinois College","Illinois","10","45300"
"2013","145691","Illinois College","Illinois","6","32300"
"2013","145691","Illinois College","Illinois","8","38200"
"2013","145725","Illinois Institute of Technology","Illinois","10","79300"
"2013","145725","Illinois Institute of Technology","Illinois","6","58900"
"2013","145725","Illinois Institute of Technology","Illinois","8","64000"
"2013","145813","Illinois State University","Illinois","10","49000"
"2013","145813","Illinois State University","Illinois","6","39700"
"2013","145813","Illinois State University","Illinois","8","44600"
"2013","146339","Judson University","Illinois","10","44800"
"2013","146339","Judson University","Illinois","6","34700"
"2013","146339","Judson University","Illinois","8","43200"
"2013","146427","Knox College","Illinois","10","43100"
"2013","146427","Knox College","Illinois","6","29100"
"2013","146427","Knox College","Illinois","8","37300"
"2013","146481","Lake Forest College","Illinois","10","53800"
"2013","146481","Lake Forest College","Illinois","6","39000"
"2013","146481","Lake Forest College","Illinois","8","46800"
"2013","146533","Lakeview College of Nursing","Illinois","10","52800"
"2013","146533","Lakeview College of Nursing","Illinois","6","55300"
"2013","146533","Lakeview College of Nursing","Illinois","8","63100"
"2013","146612","Lewis University","Illinois","10","51500"
"2013","146612","Lewis University","Illinois","6","40000"
"2013","146612","Lewis University","Illinois","8","46800"
"2013","146621","Lexington College","Illinois","10","Suppressed data"
"2013","146621","Lexington College","Illinois","6","Suppressed data"
"2013","146621","Lexington College","Illinois","8","Suppressed data"
"2013","146667","Lincoln Christian University","Illinois","10","34200"
"2013","146667","Lincoln Christian University","Illinois","6","27500"
"2013","146667","Lincoln Christian University","Illinois","8","32700"
"2013","146676","Lincoln College","Illinois","10","33800"
"2013","146676","Lincoln College","Illinois","6","24600"
"2013","146676","Lincoln College","Illinois","8","29200"
"2013","146719","Loyola University Chicago","Illinois","10","59800"
"2013","146719","Loyola University Chicago","Illinois","6","43000"
"2013","146719","Loyola University Chicago","Illinois","8","53200"
"2013","146755","Trinity College of Nursing & Health Sciences","Illinois","10","47300"
"2013","146755","Trinity College of Nursing & Health Sciences","Illinois","6","41500"
"2013","146755","Trinity College of Nursing & Health Sciences","Illinois","8","43100"
"2013","146825","MacMurray College","Illinois","10","38200"
"2013","146825","MacMurray College","Illinois","6","30200"
"2013","146825","MacMurray College","Illinois","8","34000"
"2013","147013","McKendree University","Illinois","10","48300"
"2013","147013","McKendree University","Illinois","6","37400"
"2013","147013","McKendree University","Illinois","8","41900"
"2013","147129","Methodist College","Illinois","10","Suppressed data"
"2013","147129","Methodist College","Illinois","6","49500"
"2013","147129","Methodist College","Illinois","8","Suppressed data"
"2013","147244","Millikin University","Illinois","10","47100"
"2013","147244","Millikin University","Illinois","6","34600"
"2013","147244","Millikin University","Illinois","8","40500"
"2013","147341","Monmouth College","Illinois","10","46000"
"2013","147341","Monmouth College","Illinois","6","32800"
"2013","147341","Monmouth College","Illinois","8","41300"
"2013","147536","National Louis University","Illinois","10","49300"
"2013","147536","National Louis University","Illinois","6","41400"
"2013","147536","National Louis University","Illinois","8","46300"
"2013","147590","National University of Health Sciences","Illinois","10","42800"
"2013","147590","National University of Health Sciences","Illinois","6","37900"
"2013","147590","National University of Health Sciences","Illinois","8","39500"
"2013","147660","North Central College","Illinois","10","48900"
"2013","147660","North Central College","Illinois","6","37100"
"2013","147660","North Central College","Illinois","8","46800"
"2013","147679","North Park University","Illinois","10","46600"
"2013","147679","North Park University","Illinois","6","36600"
"2013","147679","North Park University","Illinois","8","40200"
"2013","147703","Northern Illinois University","Illinois","10","47600"
"2013","147703","Northern Illinois University","Illinois","6","37400"
"2013","147703","Northern Illinois University","Illinois","8","43600"
"2013","147767","Northwestern University","Illinois","10","89800"
"2013","147767","Northwestern University","Illinois","6","70400"
"2013","147767","Northwestern University","Illinois","8","75400"
"2013","147776","Northeastern Illinois University","Illinois","10","40000"
"2013","147776","Northeastern Illinois University","Illinois","6","33300"
"2013","147776","Northeastern Illinois University","Illinois","8","36700"
"2013","147828","Olivet Nazarene University","Illinois","10","42600"
"2013","147828","Olivet Nazarene University","Illinois","6","37100"
"2013","147828","Olivet Nazarene University","Illinois","8","39400"
"2013","148131","Quincy University","Illinois","10","45500"
"2013","148131","Quincy University","Illinois","6","34700"
"2013","148131","Quincy University","Illinois","8","36200"
"2013","148335","Robert Morris University Illinois","Illinois","10","34600"
"2013","148335","Robert Morris University Illinois","Illinois","6","31300"
"2013","148335","Robert Morris University Illinois","Illinois","8","32700"
"2013","148405","Rockford University","Illinois","10","44600"
"2013","148405","Rockford University","Illinois","6","36900"
"2013","148405","Rockford University","Illinois","8","41000"
"2013","148487","Roosevelt University","Illinois","10","46600"
"2013","148487","Roosevelt University","Illinois","6","38300"
"2013","148487","Roosevelt University","Illinois","8","41800"
"2013","148496","Dominican University","Illinois","10","48000"
"2013","148496","Dominican University","Illinois","6","37600"
"2013","148496","Dominican University","Illinois","8","42600"
"2013","148511","Rush University","Illinois","10","116100"
"2013","148511","Rush University","Illinois","6","65500"
"2013","148511","Rush University","Illinois","8","96900"
"2013","148575","Saint Francis Medical Center College of Nursing","Illinois","10","57900"
"2013","148575","Saint Francis Medical Center College of Nursing","Illinois","6","48700"
"2013","148575","Saint Francis Medical Center College of Nursing","Illinois","8","53700"
"2013","148584","University of St Francis","Illinois","10","50600"
"2013","148584","University of St Francis","Illinois","6","46400"
"2013","148584","University of St Francis","Illinois","8","50800"
"2013","148593","St John's College of Nursing","Illinois","10","Suppressed data"
"2013","148593","St John's College of Nursing","Illinois","6","Suppressed data"
"2013","148593","St John's College of Nursing","Illinois","8","Suppressed data"
